binned_LNs_examined,# LNs examined,# LNs +,# LN specimens,Count
1,4.333333333333333,1.6666666666666667,2.3333333333333335,3
2,7.0,2.0,5.0,2
3,12.555555555555555,2.111111111111111,2.5555555555555554,9
4,19.2,6.8,4.2,10
5,22.5,4.8,3.8,10
6,26.666666666666668,1.5,7.0,6
7,33.25,12.25,5.25,4
8,39.0,1.0,8.0,1
9,42.0,18.0,8.0,1
10,47.0,1.0,9.0,1
11,61.2,10.8,14.6,5
