Extent of LND,# LNs examined,# LNs +,# LN specimens,Count
1,17.333333333333332,3.4583333333333335,2.3333333333333335,24
2,23.1875,5.8125,6.25,16
3,41.416666666666664,8.333333333333334,10.416666666666666,12
