Extent of LND,alive_awd,# LNs examined,# LNs +,# LN specimens,Count
1,0,14.25,5.25,2.5,4
1,1,13.25,1.5,1.875,8
1,2,21.083333333333332,4.166666666666667,2.5833333333333335,12
2,0,16.0,3.0,4.0,2
2,1,24.5,6.333333333333333,6.333333333333333,6
2,2,24.0,6.125,6.75,8
3,0,40.0,5.0,9.0,2
3,1,47.8,13.0,12.8,5
3,2,35.6,5.0,8.6,5
