Extent of LND,# LNs examined,# LNs +,# LN specimens,Count
0,0.8333333333333334,0.0,0.0,6
1,16.670103092783506,0.8556701030927835,2.7422680412371134,97
2,23.074626865671643,1.3880597014925373,6.044776119402985,67
3,42.67567567567568,2.7027027027027026,12.08108108108108,37
